,Title,Year,RuntimeMin,GenreMain,RatingAvg,Votes,Studio,GrossLifetime,Awards,Nominations
26269,The Bells of St. Mary's,1945,126,Drama,7.3,6762.0,RKO,21333333.0,1.0,8.0
26359,Dick Tracy,1945,61,Action,6.0,1147.0,BV,103738726.0,3.0,7.0
26931,Beauty and the Beast,1946,96,Drama,7.9,23278.0,BV,218967620.0,2.0,6.0
27125,Great Expectations,1946,118,Adventure,7.8,21117.0,Fox,26420672.0,2.0,5.0
27173,Inside Job,1946,65,Crime,5.9,129.0,SPC,4312735.0,1.0,1.0
27366,The Razor's Edge,1946,145,Drama,7.4,5126.0,Col.,6551987.0,1.0,4.0
27791,The Fugitive,1947,104,Drama,6.3,1989.0,WB,183875760.0,1.0,7.0
28298,The Accused,1949,101,Drama,6.9,705.0,Par.,32078318.0,1.0,1.0
28324,Anna Karenina,1948,139,Drama,6.7,2352.0,Focus,12816367.0,1.0,4.0
28831,Rocky,1948,76,Drama,6.6,31.0,UA,117235147.0,3.0,10.0
28924,Superman,1948,244,Sci-Fi,7.0,900.0,WB,134218018.0,1.0,3.0
29010,Whiplash,1948,91,Drama,6.6,326.0,SPC,13092000.0,3.0,5.0
29062,All the King's Men,1949,110,Drama,7.5,12571.0,Sony,7221458.0,3.0,7.0
29167,Champion,1949,99,Drama,7.4,3510.0,AAE,175232.0,1.0,6.0
29314,Grand Canyon,1949,65,Comedy,6.6,13.0,Fox,33243020.0,1.0,1.0
29317,The Great Gatsby,1949,91,Drama,6.6,623.0,Par.,20563273.0,2.0,2.0
29318,The Great Gatsby,1949,91,Drama,6.6,623.0,Par.,20563273.0,2.0,2.0
29507,Mighty Joe Young,1949,94,Adventure,7.0,4381.0,BV,50632037.0,1.0,1.0
29770,The Third Man,1949,104,Film-Noir,8.1,152130.0,Selz.,618173.0,1.0,3.0
29872,All About Eve,1950,138,Drama,8.2,115018.0,Fox,63463.0,6.0,14.0
29950,Born Yesterday,1950,103,Comedy,7.6,9505.0,BV,17952857.0,1.0,5.0
