,Title,Year,RuntimeMin,GenreMain,RatingAvg,Votes,Studio,GrossLifetime,Awards,Nominations
66112,The Fighter,1989,100,Action,4.3,66.0,Par.,93617009.0,2.0,7.0
66199,Harry and the Hendersons,1987,110,Comedy,6.0,30043.0,Uni.,29760613.0,1.0,1.0
66280,Innerspace,1987,120,Action,6.8,52052.0,WB,25893810.0,1.0,1.0
66377,The Last Emperor,1987,163,Biography,7.7,89653.0,Col.,43984230.0,9.0,9.0
66498,Moonstruck,1987,102,Comedy,7.1,46774.0,MGM,80640528.0,3.0,6.0
66551,No Man's Land,1987,106,Crime,6.1,4004.0,MGM,1012153.0,1.0,1.0
66969,The Untouchables,1987,119,Crime,7.9,267522.0,Par.,76270454.0,1.0,4.0
67017,Wall Street,1987,126,Crime,7.4,138849.0,Fox,43848069.0,1.0,1.0
67117,The Accidental Tourist,1988,121,Drama,6.8,14291.0,WB,32632093.0,1.0,4.0
67119,The Accused,1988,111,Crime,7.1,30329.0,Par.,32078318.0,1.0,1.0
67200,Beetlejuice,1988,92,Comedy,7.5,246771.0,WB,73707461.0,1.0,1.0
67219,Bird,1988,161,Biography,7.2,10951.0,WB,2181286.0,1.0,1.0
67378,Dangerous Liaisons,1988,119,Drama,7.6,62160.0,WB,34670720.0,3.0,7.0
67510,A Fish Called Wanda,1988,108,Comedy,7.5,127288.0,MGM,62493712.0,1.0,3.0
67840,The Milagro Beanfield War,1988,117,Comedy,6.8,5791.0,Uni.,13825794.0,1.0,1.0
67847,Mississippi Burning,1988,128,Crime,7.8,83171.0,Orion,34603943.0,1.0,7.0
67920,Cinema Paradiso,1988,155,Drama,8.5,216011.0,Mira.,12397210.0,1.0,1.0
68049,Rain Man,1988,133,Drama,8.0,458212.0,MGM,172825435.0,4.0,8.0
68371,Who Framed Roger Rabbit,1988,104,Adventure,7.7,175517.0,BV,156452370.0,4.0,6.0
68383,Working Girl,1988,113,Comedy,6.8,49718.0,Fox,63779477.0,1.0,6.0
68455,The Abyss,1989,171,Adventure,7.6,157216.0,Fox,54461047.0,1.0,4.0
68554,Batman,1989,126,Action,7.5,326964.0,WB,251188924.0,1.0,1.0
68609,Born on the Fourth of July,1989,145,Biography,7.2,94032.0,Uni.,70001698.0,2.0,8.0
68735,Dead Poets Society,1989,128,Comedy,8.1,399563.0,BV,95860116.0,1.0,4.0
68778,Driving Miss Daisy,1989,99,Drama,7.4,94689.0,WB,106593296.0,4.0,9.0
68917,Glory,1989,122,Biography,7.8,116515.0,TriS,26828365.0,3.0,5.0
68957,Henry V,1989,137,Action,7.5,27392.0,Gold.,10161099.0,1.0,3.0
68958,Henry V,1989,137,Action,7.5,27392.0,Gold.,10161099.0,1.0,4.0
69013,Indiana Jones and the Last Crusade,1989,127,Action,8.2,664932.0,Par.,197171806.0,1.0,3.0
69025,Iris,1987,90,Comedy,6.5,180.0,Mira.,5594617.0,1.0,3.0
69153,The Little Mermaid,1989,83,Animation,7.6,227078.0,BV,111543479.0,2.0,3.0
69279,My Left Foot,1989,103,Biography,7.9,64493.0,Mira.,14743391.0,2.0,5.0
69548,Sing,1989,98,Drama,7.0,674.0,Uni.,270395425.0,1.0,1.0
69549,Sing,1989,98,Drama,7.0,674.0,TriS,2260616.0,1.0,1.0
69866,American Dream,1990,98,Documentary,7.8,698.0,Mira.,269823.0,1.0,1.0
70074,Cyrano de Bergerac,1990,137,Comedy,7.5,21609.0,OrionC,5820020.0,1.0,5.0
70075,Cyrano de Bergerac,1990,137,Comedy,7.5,21609.0,OrionC,5820020.0,1.0,1.0
70088,Dances with Wolves,1990,181,Adventure,8.0,230962.0,Orion,184208848.0,7.0,12.0
70135,Dick Tracy,1990,105,Action,6.1,55476.0,BV,103738726.0,3.0,7.0
70306,Ghost,1990,127,Drama,7.0,188622.0,Par.,217631306.0,2.0,5.0
70325,Goodfellas,1990,146,Biography,8.7,968959.0,WB,46836214.0,1.0,6.0
70410,The Hunt for Red October,1990,135,Action,7.6,171534.0,Par.,122012643.0,1.0,3.0
70636,Misery,1990,107,Drama,7.8,174708.0,Col.,61276872.0,1.0,1.0
70862,Reversal of Fortune,1990,111,Biography,7.2,13953.0,WB,15445131.0,1.0,3.0
71073,Total Recall,1990,113,Action,7.5,289586.0,Sony,119412921.0,1.0,2.0
71356,Beauty and the Beast,1991,84,Animation,8.0,405506.0,BV,218967620.0,2.0,6.0
71427,Bugsy,1991,136,Biography,6.8,24932.0,TriS,49114016.0,2.0,10.0
71474,City Slickers,1991,113,Comedy,6.7,46128.0,Col.,124033791.0,1.0,1.0
71676,The Fisher King,1991,137,Comedy,7.5,76330.0,TriS,41895491.0,1.0,5.0
71729,Grand Canyon,1991,134,Crime,6.9,14356.0,Fox,33243020.0,1.0,1.0
71843,JFK,1991,189,Drama,8.0,135939.0,WB,70405498.0,2.0,8.0
71861,Joker,1991,108,Comedy,4.6,688.0,UTV,169181.0,2.0,11.0
72035,Mediterraneo,1991,96,Comedy,7.5,13201.0,Mira.,4532791.0,1.0,1.0
72204,The Pianist,1991,112,Romance,4.7,119.0,Focus,32572577.0,3.0,7.0
72389,The Silence of the Lambs,1991,118,Crime,8.6,1206678.0,Orion,130742922.0,5.0,7.0
72480,Terminator 2: Judgment Day,1991,137,Action,8.5,958766.0,TriS,205881154.0,4.0,6.0
72575,Van Gogh,1991,158,Biography,7.2,2566.0,SPC,193205.0,1.0,1.0
72728,Aladdin,1992,90,Adventure,8.0,354249.0,BV,217350219.0,2.0,5.0
72900,Bram Stoker's Dracula,1992,128,Horror,7.4,183596.0,Col.,82522790.0,3.0,4.0
73013,The Crying Game,1992,112,Crime,7.2,49249.0,Mira.,62548947.0,1.0,6.0
73033,Death Becomes Her,1992,104,Comedy,6.6,98465.0,Uni.,58422650.0,1.0,1.0
73217,Gladiator,1992,101,Action,6.5,7884.0,DW,187705427.0,5.0,12.0
73287,Howards End,1992,142,Drama,7.4,27365.0,SPC,26126837.0,3.0,9.0
73324,Indochine,1992,159,Drama,7.1,8921.0,SPC,5603158.0,1.0,2.0
73458,The Last of the Mohicans,1992,112,Action,7.7,142640.0,Fox,75505856.0,1.0,1.0
73634,My Cousin Vinny,1992,120,Comedy,7.6,101489.0,Fox,52929168.0,1.0,1.0
73730,The Panama Deception,1992,91,Documentary,7.6,978.0,EPr,309596.0,1.0,1.0
73857,A River Runs Through It,1992,123,Drama,7.2,51357.0,Col.,43440294.0,1.0,3.0
73898,Scent of a Woman,1992,156,Drama,8.0,246167.0,Uni.,63095253.0,1.0,4.0
74141,Unforgiven,1992,130,Drama,8.2,359243.0,WB,101157447.0,4.0,9.0
74260,The Sting,1992,93,Comedy,4.8,73.0,Uni.,156000000.0,7.0,10.0
74359,The Age of Innocence,1993,139,Drama,7.2,47932.0,Col.,32255440.0,1.0,5.0
74508,Born Yesterday,1993,100,Comedy,5.2,3626.0,BV,17952857.0,1.0,5.0
74828,The Fugitive,1993,130,Action,7.8,256496.0,WB,183875760.0,1.0,7.0
75043,Jurassic Park,1993,127,Action,8.1,825201.0,Uni.,402453882.0,3.0,3.0
75254,Morning Glory,1993,96,Drama,6.6,380.0,Par.,31011732.0,1.0,1.0
75261,Mrs. Doubtfire,1993,125,Comedy,7.0,234587.0,Fox,219195243.0,1.0,1.0
75402,Philadelphia,1993,125,Drama,7.7,215474.0,TriS,77446440.0,2.0,5.0
75406,The Piano,1993,121,Drama,7.6,76081.0,Mira.,40157856.0,3.0,8.0
75556,Schindler's List,1993,195,Biography,8.9,1159199.0,Uni.,96065768.0,7.0,12.0
75702,Tango,1993,88,Comedy,6.1,1169.0,SPC,1897948.0,1.0,1.0
75999,"The Adventures of Priscilla, Queen of the Desert",1994,104,Comedy,7.4,44850.0,Gram.,11220670.0,1.0,1.0
76160,Blue Sky,1994,101,Drama,6.4,6560.0,Orion,3359465.0,1.0,1.0
76176,Brave,1994,58,Drama,6.8,229.0,BV,237283207.0,1.0,1.0
76430,Ed Wood,1994,127,Biography,7.8,161341.0,BV,5887457.0,2.0,2.0
76515,Forrest Gump,1994,142,Drama,8.8,1717376.0,Par.,330252182.0,6.0,13.0
76746,The Jungle Book,1994,111,Adventure,6.0,15846.0,Dis.,141843612.0,1.0,1.0
76819,Legends of the Fall,1994,133,Drama,7.6,141148.0,Sony,66638883.0,1.0,3.0
76839,The Lion King,1994,88,Adventure,8.5,899096.0,BV,422783777.0,2.0,4.0
76891,The Madness of King George,1994,110,Biography,7.2,14779.0,Gold.,15238689.0,1.0,4.0
76927,Maya Lin: A Strong Clear Vision,1994,105,Biography,7.4,405.0,OcR,62186.0,1.0,1.0
77183,Pulp Fiction,1994,154,Crime,8.9,1746252.0,Mira.,107928762.0,1.0,7.0
77416,Speed,1994,116,Action,7.2,316654.0,Fox,121248145.0,2.0,3.0
77844,Anne Frank Remembered,1995,117,Biography,8.0,982.0,SPC,1310200.0,1.0,1.0
77852,Apollo 13,1995,140,Adventure,7.6,257216.0,Uni.,173837933.0,2.0,9.0
77879,Babe,1995,91,Comedy,6.7,113202.0,Uni.,63658910.0,1.0,7.0
77966,Braveheart,1995,178,Biography,8.3,928525.0,Par.,75609945.0,5.0,10.0
78115,Dead Man Walking,1995,122,Crime,7.5,85775.0,Gram.,39363635.0,1.0,4.0
78593,Leaving Las Vegas,1995,111,Drama,7.5,110680.0,MGM,32029928.0,1.0,4.0
78718,Mighty Aphrodite,1995,95,Comedy,7.0,36873.0,Mira.,6468498.0,1.0,2.0
78908,Pocahontas,1995,81,Adventure,6.7,162373.0,BV,141579773.0,2.0,2.0
78981,Restoration,1995,117,Biography,6.6,8668.0,Mira.,4005941.0,2.0,2.0
79011,Sabrina,1995,127,Comedy,6.3,35174.0,Par.,53672080.0,1.0,6.0
79048,Sense and Sensibility,1995,136,Drama,7.6,97413.0,Sony,43182776.0,1.0,7.0
79220,Toy Story,1995,81,Adventure,8.3,847999.0,BV,191796233.0,1.0,3.0
79268,The Usual Suspects,1995,106,Crime,8.5,951087.0,Gram.,23341568.0,2.0,2.0
79753,Crash,1996,100,Drama,6.4,49547.0,Lions,54580300.0,3.0,6.0
79886,Emma,1996,120,Comedy,6.6,34580.0,Mira.,22231658.0,1.0,2.0
79898,The English Patient,1996,162,Drama,7.4,172749.0,Mira.,78676425.0,9.0,12.0
79920,Evita,1996,135,Biography,6.3,33068.0,BV,50047179.0,1.0,5.0
79940,Fargo,1996,98,Crime,8.1,589613.0,Gram.,24611975.0,2.0,7.0
80022,The Ghost and the Darkness,1996,110,Adventure,6.8,54566.0,Par.,38619405.0,1.0,1.0
80146,Independence Day,1996,145,Action,7.0,512681.0,Fox,306169268.0,1.0,2.0
80185,Jerry Maguire,1996,139,Comedy,7.3,232496.0,Sony,153952592.0,1.0,5.0
80257,Kolya,1996,105,Comedy,7.8,14072.0,Mira.,5770254.0,1.0,1.0
80274,Somebody Up There Likes Me,1996,108,Action,6.1,139.0,Trib.,89435.0,2.0,3.0
80412,A Midsummer Night's Dream,1996,105,Comedy,6.2,334.0,FoxS,16071990.0,2.0,11.0
80750,Shine,1996,105,Biography,7.7,49905.0,FL,35892330.0,1.0,7.0
80773,Sling Blade,1996,135,Drama,8.0,84669.0,Mira.,24444121.0,1.0,2.0
80837,The Substitute,1996,114,Action,6.0,11679.0,Orion,14818176.0,1.0,1.0
80873,Tango,1996,58,NaN,5.5,14.0,SPC,1897948.0,1.0,1.0
81037,When We Were Kings,1996,88,Documentary,8.0,14448.0,Gram.,2789985.0,1.0,1.0
81124,Affliction,1997,114,Drama,7.0,14466.0,Lions,6330054.0,1.0,2.0
81160,Amy,1997,104,Drama,6.7,733.0,A24,8413144.0,1.0,1.0
81163,Anastasia,1997,94,Adventure,7.1,107478.0,Fox,58406347.0,1.0,2.0
81167,Anna Karenina,1997,108,Drama,6.4,5351.0,Focus,12816367.0,1.0,4.0
81199,Babel,1999,95,Adventure,3.7,173.0,ParV,34302837.0,1.0,7.0
81430,Doctor Dolittle,1998,85,Comedy,5.4,89134.0,Fox,144156605.0,2.0,9.0
81536,The Full Monty,1997,91,Comedy,7.2,95882.0,FoxS,45950122.0,1.0,4.0
81564,Good Will Hunting,1997,126,Drama,8.3,817988.0,Mira.,138433435.0,2.0,9.0
81569,Great Expectations,1998,111,Drama,6.9,49871.0,Fox,26420672.0,2.0,5.0
81602,The River,1997,115,Drama,7.2,2495.0,Uni.,11489982.0,1.0,4.0
81748,L.A. Confidential,1997,138,Crime,8.2,513270.0,WB,64616940.0,2.0,9.0
81798,The Long Way Home,1997,120,Documentary,7.5,637.0,7Art,60509.0,1.0,1.0
81858,Men in Black,1997,98,Action,7.3,499331.0,Sony,250690539.0,1.0,3.0
81971,As Good as It Gets,1997,139,Comedy,7.7,265421.0,Sony,148478011.0,2.0,7.0
82268,Tango,1998,115,Drama,7.1,2724.0,SPC,1897948.0,1.0,1.0
82298,Titanic,1997,194,Drama,7.8,1005093.0,Par.,659363944.0,11.0,14.0
82299,Titanic,1997,194,Drama,7.8,1005093.0,Par.,659363944.0,1.0,2.0
82350,Underworld,1996,95,Comedy,4.8,664.0,SGem,51970690.0,1.0,1.0
82517,Frida,2002,123,Biography,7.4,77902.0,Mira.,25885000.0,2.0,6.0
82522,Gods and Monsters,1998,105,Biography,7.4,28369.0,Lions,6451628.0,1.0,3.0
82561,The Lord of the Rings: The Fellowship of the Ring,2001,178,Action,8.8,1589815.0,NL,315544750.0,4.0,13.0
82573,Mighty Joe Young,1998,114,Action,5.6,26799.0,BV,50632037.0,1.0,1.0
82602,The Patriot,1998,90,Action,4.2,11454.0,Sony,113330342.0,1.0,5.0
82609,The Prince of Egypt,1998,99,Adventure,7.1,113590.0,DW,101413188.0,1.0,2.0
82620,Saving Private Ryan,1998,169,Drama,8.6,1179068.0,DW,216540909.0,5.0,11.0
82644,Tarzan,1999,88,Adventure,7.3,194056.0,BV,171091819.0,1.0,1.0
82672,What Dreams May Come,1998,113,Drama,7.1,99410.0,Poly,55382927.0,1.0,2.0
83489,Feast,1992,87,Comedy,5.3,67.0,W/Dim.,56131.0,1.0,1.0
84301,The Cider House Rules,1999,126,Drama,7.4,90665.0,Mira.,57545092.0,2.0,7.0
84566,Frozen,1996,99,Drama,6.6,230.0,BV,400738009.0,2.0,2.0
84922,Shrek,2001,90,Adventure,7.8,590786.0,DW,267665011.0,1.0,2.0
88426,The Matrix,1999,136,Action,8.7,1599366.0,WB,171479930.0,4.0,4.0
88472,Planet of the Apes,2001,119,Action,5.7,205958.0,Fox,32589624.0,1.0,2.0
89491,Underworld,1937,95,Crime,5.5,21.0,SGem,51970690.0,1.0,1.0
89555,Casablanca,1961,NaN,Documentary,5.2,15.0,WB,4108411.0,3.0,8.0
89867,The Abyss,1977,80,Drama,6.5,56.0,Fox,54461047.0,1.0,4.0
90351,Shakespeare in Love,1998,123,Comedy,7.1,208430.0,Mira.,100317794.0,7.0,13.0
90902,Iris,1968,95,Drama,7.5,17.0,Mira.,5594617.0,1.0,3.0
91043,Training Day,2001,122,Crime,7.7,373373.0,WB,76631907.0,1.0,2.0
91345,A Midsummer Night's Dream,1999,116,Comedy,6.4,23850.0,FoxS,16071990.0,2.0,11.0
91999,U-571,2000,116,Action,6.6,74548.0,Uni.,77122415.0,1.0,2.0
93614,Milk,1997,NaN,NaN,4.5,13.0,Focus,31841299.0,2.0,8.0
94672,Topsy-Turvy,1999,160,Biography,7.3,11374.0,USA,6208548.0,2.0,4.0
95242,Avatar,1941,NaN,Drama,6.3,17.0,Fox,760507625.0,3.0,9.0
95378,Boys and Girls,1967,100,Comedy,5.4,7.0,Dim.,21799652.0,1.0,1.0
95917,The Thomas Crown Affair,1999,113,Crime,6.8,84161.0,MGM,69305181.0,1.0,2.0
95919,Titanic,1915,NaN,History,6.8,165.0,Par.,659363944.0,11.0,14.0
95920,Titanic,1915,NaN,History,6.8,165.0,Par.,659363944.0,1.0,2.0
97647,La Cucaracha,1998,95,Comedy,6.0,327.0,Wht.,14692.0,1.0,1.0
98435,Cold Mountain,2003,154,Adventure,7.2,136208.0,Mira.,95636509.0,1.0,7.0
98733,Cyrano de Bergerac,1923,113,Drama,6.8,273.0,OrionC,5820020.0,1.0,5.0
98734,Cyrano de Bergerac,1923,113,Drama,6.8,273.0,OrionC,5820020.0,1.0,1.0
98836,Milk,1999,94,Comedy,5.6,157.0,Focus,31841299.0,2.0,8.0
98965,The Little Mermaid,1976,81,Family,7.0,469.0,BV,111543479.0,2.0,3.0
99005,Love Story,1942,95,Drama,6.4,19.0,Par.,106397186.0,1.0,7.0
99598,Shaft,2000,99,Action,5.9,71639.0,Par.,70334258.0,1.0,2.0
99607,Sleepy Hollow,1999,105,Fantasy,7.3,317912.0,Par.,101071502.0,1.0,3.0
101151,Anna Karenina,1975,76,Drama,7.0,58.0,Focus,12816367.0,1.0,4.0
101670,The Lord of the Rings: The Return of the King,2003,201,Adventure,8.9,1577010.0,NL,377845905.0,11.0,11.0
101671,The Lord of the Rings: The Two Towers,2002,179,Adventure,8.7,1424362.0,NL,342551365.0,2.0,6.0
102464,American Beauty,1999,122,Drama,8.3,1033120.0,DW,130096601.0,5.0,8.0
102672,How the Grinch Stole Christmas,2000,104,Comedy,6.2,195622.0,Uni.,260044825.0,1.0,3.0
103474,Boys Don't Cry,1999,118,Biography,7.5,89820.0,FoxS,11540607.0,1.0,2.0
103749,"Girl, Interrupted",1999,127,Biography,7.3,156812.0,Sony,28912646.0,1.0,1.0
103750,Gladiator,2000,155,Action,8.5,1282406.0,DW,187705427.0,5.0,12.0
103994,Rango,1931,66,Adventure,5.5,15.0,Par.,123477607.0,1.0,1.0
104217,Crash,1987,NaN,NaN,7.9,9.0,Lions,54580300.0,3.0,6.0
104707,The Last Days,1998,87,Documentary,7.6,1798.0,Oct.,421432.0,1.0,1.0
104708,The Hurricane,1999,146,Biography,7.6,88915.0,Uni.,50699241.0,1.0,3.0
105885,Spartacus,1977,95,Musical,5.6,54.0,Uni.,1830650.0,4.0,6.0
107148,The River,1960,110,Adventure,7.3,85.0,Uni.,11489982.0,1.0,4.0
107377,Funny Girl,1970,102,Comedy,3.9,267.0,Col.,52223306.0,1.0,8.0
107937,Traffic,2000,147,Crime,7.6,190852.0,USA,124115725.0,4.0,5.0
107946,Almost Famous,2000,122,Adventure,7.9,243062.0,DW,32534850.0,1.0,4.0
108021,Cyrano de Bergerac,1946,100,Drama,6.0,21.0,OrionC,5820020.0,1.0,5.0
108022,Cyrano de Bergerac,1946,100,Drama,6.0,21.0,OrionC,5820020.0,1.0,1.0
108075,Misery,1975,117,Drama,7.3,31.0,Col.,61276872.0,1.0,1.0
108808,Pollock,2000,122,Biography,7.0,26239.0,SPC,8598593.0,1.0,2.0
109539,Wonder Boys,2000,107,Comedy,7.3,59922.0,Par.,19393557.0,1.0,3.0
110748,The Patriot,2000,165,Action,7.2,246268.0,Sony,113330342.0,1.0,5.0
112201,"Crouching Tiger, Hidden Dragon",2000,120,Action,7.8,246783.0,SPC,128078872.0,4.0,10.0
113555,The Accountant,1999,50,Action,7.3,54.0,WB,86260045.0,1.0,1.0
114342,Pinocchio,1911,50,Fantasy,5.8,86.0,Dis.,84254167.0,2.0,2.0
114343,Pinocchio,1911,50,Fantasy,5.8,86.0,Mira.,3684305.0,2.0,2.0
115081,Erin Brockovich,2000,131,Biography,7.3,167138.0,Uni.,125595205.0,1.0,5.0
116459,"Monsters, Inc.",2001,92,Adventure,8.0,781464.0,BV,289916256.0,1.0,4.0
117368,The Salesman,2001,NaN,NaN,5.6,9.0,Cohen,2402067.0,1.0,1.0
117455,Inside Out,1998,93,Comedy,7.5,44.0,BV,356461711.0,1.0,2.0
118778,Moulin Rouge!,2001,127,Drama,7.6,259725.0,Fox,57386607.0,2.0,8.0
119318,Boys and Girls,2000,94,Comedy,5.4,15615.0,Dim.,21799652.0,1.0,1.0
121411,Almost Famous,1996,NaN,NaN,7.2,92.0,DW,32534850.0,1.0,4.0
122006,Anna Karenina,1911,NaN,NaN,5.1,18.0,Focus,12816367.0,1.0,4.0
122008,Anna Karenina,1920,NaN,NaN,6.2,6.0,Focus,12816367.0,1.0,4.0
122010,Anna Karenina,1953,165,Drama,5.1,19.0,Focus,12816367.0,1.0,4.0
122013,Anna Karenina,1971,NaN,NaN,4.3,6.0,Focus,12816367.0,1.0,4.0
122954,The Woman in Red,1997,82,Drama,6.9,24.0,Orion,25308147.0,1.0,1.0
123054,Pearl Harbor,2001,183,Action,6.2,303048.0,BV,198542554.0,1.0,4.0
124102,Rocky,1981,151,Action,6.9,561.0,UA,117235147.0,3.0,10.0
126236,The Mission,1999,84,Action,7.5,4729.0,WB,17218023.0,1.0,7.0
129457,One Day in September,1999,94,Documentary,7.8,5516.0,SPC,156818.0,1.0,1.0
129622,Superman,1960,NaN,Action,4.4,16.0,WB,134218018.0,1.0,3.0
130752,Atonement,1971,51,Documentary,6.2,5.0,Focus,50927067.0,1.0,7.0
131113,Love Story,1981,161,Drama,6.4,353.0,Par.,106397186.0,1.0,7.0
132874,Boys Don't Cry,2000,90,Comedy,7.6,5205.0,FoxS,11540607.0,1.0,2.0
133369,Juno,1998,NaN,NaN,5.9,68.0,FoxS,143495265.0,1.0,4.0
134854,King Kong,1962,142,Action,6.3,39.0,Uni.,218080025.0,3.0,4.0
134855,King Kong,1962,142,Action,6.3,39.0,Uni.,218080025.0,1.0,2.0
136029,Lawrence of Arabia,1935,NaN,NaN,7.1,47.0,Col.,44824144.0,7.0,10.0
136057,Moonlight,2002,91,Thriller,6.1,637.0,Indic.,51570.0,3.0,8.0
136119,Spirited Away,2001,125,Adventure,8.6,605300.0,BV,11252650.0,1.0,1.0
137531,The River,2001,104,Drama,6.8,797.0,Uni.,11489982.0,1.0,4.0
138192,The Queen,2000,98,Documentary,6.9,31.0,Mira.,56441711.0,1.0,6.0
138587,No Man's Land,1964,72,Drama,6.7,6.0,MGM,1012153.0,1.0,1.0
138800,Joker,1993,NaN,Comedy,7.1,57.0,UTV,169181.0,2.0,11.0
139612,The Pianist,2002,150,Biography,8.5,690309.0,Focus,32572577.0,3.0,7.0
140644,Pinocchio,2002,108,Comedy,4.4,7506.0,Dis.,84254167.0,2.0,2.0
140645,Pinocchio,2002,108,Comedy,4.4,7506.0,Mira.,3684305.0,2.0,2.0
141381,Road to Perdition,2002,117,Crime,7.7,238204.0,DW,104454762.0,1.0,6.0
145530,Moonlight,2000,NaN,NaN,4.0,6.0,Indic.,51570.0,3.0,8.0
145571,Black Hawk Down,2001,144,Drama,7.7,353022.0,SonR,108638745.0,2.0,4.0
146146,Finding Nemo,2003,100,Adventure,8.1,912710.0,BV,380843261.0,1.0,4.0
146986,The Time Machine,2002,96,Action,6.0,116003.0,DW,56832494.0,1.0,1.0
147078,A Beautiful Mind,2001,135,Biography,8.2,812297.0,Uni.,170742341.0,4.0,8.0
147193,The River,1959,151,Drama,7.3,27.0,Uni.,11489982.0,1.0,4.0
147239,Iris,2000,73,Drama,7.4,72.0,Mira.,5594617.0,1.0,3.0
147865,Champion,2000,140,Action,4.2,462.0,AAE,175232.0,1.0,6.0
148056,Black Swan,2002,90,Comedy,4.2,97.0,FoxS,106954678.0,1.0,5.0
148411,No Man's Land,2000,90,Drama,7.2,41.0,MGM,1012153.0,1.0,1.0
148961,The River,1977,87,Adventure,5.8,182.0,Uni.,11489982.0,1.0,4.0
149200,The Hours,2002,110,Drama,7.5,120706.0,Par.,41675994.0,1.0,9.0
150700,Avatar,1916,NaN,Drama,6.9,19.0,Fox,760507625.0,3.0,9.0
151699,Gosford Park,2001,131,Comedy,7.2,77198.0,USA,41308615.0,1.0,7.0
151736,Iris,2001,91,Biography,7.0,16800.0,Mira.,5594617.0,1.0,3.0
152839,No Man's Land,2001,98,Comedy,7.9,43352.0,MGM,1012153.0,1.0,1.0
153570,Monster's Ball,2001,111,Drama,7.0,80501.0,Lions,31273922.0,1.0,2.0
154181,Pinocchio,1971,96,Animation,6.8,135.0,Dis.,84254167.0,2.0,2.0
154182,Pinocchio,1971,96,Animation,6.8,135.0,Mira.,3684305.0,2.0,2.0
156369,Affliction,1996,45,Documentary,6.8,71.0,Lions,6330054.0,1.0,2.0
157449,Unforgiven,1966,87,Drama,5.2,112.0,WB,101157447.0,4.0,9.0
157723,Superman,1971,NaN,Adventure,4.2,27.0,WB,134218018.0,1.0,3.0
157935,Superman,1987,123,Action,4.3,236.0,WB,134218018.0,1.0,3.0
157978,Argo,2004,106,Action,7.1,3477.0,WB,136025503.0,3.0,7.0
158077,Love Story,1996,111,Romance,7.3,7.0,Par.,106397186.0,1.0,7.0
158140,8 Mile,2002,110,Drama,7.1,240088.0,Uni.,116750901.0,1.0,1.0
158517,Chicago,2002,113,Comedy,7.1,209350.0,Mira.,170687518.0,6.0,13.0
160297,Whiplash,2002,110,Comedy,6.7,18.0,SPC,13092000.0,3.0,5.0
160995,Finding Neverland,2004,106,Biography,7.7,194623.0,Mira.,51680613.0,1.0,7.0
161687,Bowling for Columbine,2002,120,Crime,7.9,137470.0,UA,21576018.0,1.0,1.0
161791,Master and Commander: The Far Side of the World,2003,138,Action,7.4,195368.0,Fox,93927920.0,2.0,10.0
162247,White Nights,1992,92,Drama,6.3,10.0,Col.,42160849.0,1.0,2.0
163960,Spider-Man 2,2004,127,Action,7.3,524105.0,Sony,373585825.0,1.0,3.0
164353,The Incredibles,2004,115,Action,8.0,633110.0,BV,261441092.0,2.0,4.0
164688,The Motorcycle Diaries,2004,126,Adventure,7.8,94096.0,Focus,16781387.0,1.0,2.0
165668,Underworld,2003,121,Action,7.0,246193.0,SGem,51970690.0,1.0,1.0
166240,Hugo,2000,NaN,NaN,6.8,9.0,Par.,73864507.0,5.0,11.0
167108,Champion,2002,117,Drama,6.6,366.0,AAE,175232.0,1.0,6.0
167671,Mystic River,2003,138,Crime,7.9,404552.0,WB,90135191.0,2.0,6.0
167743,Around the World in 80 Days,2004,120,Action,5.9,81790.0,UA,42000000.0,5.0,8.0
167744,Around the World in 80 Days,2004,120,Action,5.9,81790.0,BV,24008137.0,5.0,8.0
168527,Charly,2002,103,Comedy,6.6,868.0,Excel,814666.0,1.0,1.0
170173,Superman,1997,150,Comedy,6.6,290.0,WB,134218018.0,1.0,3.0
170473,Lost in Translation,2003,102,Drama,7.7,393871.0,Focus,44585453.0,1.0,4.0
171117,Eternal Sunshine of the Spotless Mind,2004,108,Drama,8.3,870710.0,Focus,34400301.0,1.0,2.0
171331,The Aviator,2004,170,Biography,7.5,321856.0,Mira.,102610330.0,5.0,11.0
171459,Lemony Snicket's A Series of Unfortunate Events,2004,108,Adventure,6.8,190581.0,Par.,118634549.0,1.0,4.0
171861,Monster,2003,109,Biography,7.3,130331.0,NM,34469210.0,1.0,1.0
174931,Ray,2004,152,Biography,7.7,133503.0,Uni.,75331600.0,2.0,6.0
176154,Witness,1988,NaN,Action,5.7,35.0,Par.,68706993.0,2.0,8.0
176348,Henry V,2003,NaN,Drama,6.5,11.0,Gold.,10161099.0,1.0,3.0
176349,Henry V,2003,NaN,Drama,6.5,11.0,Gold.,10161099.0,1.0,4.0
177474,The Bridge of San Luis Rey,2004,120,Drama,5.1,3268.0,FL,49981.0,1.0,1.0
177563,The Fugitive,1959,NaN,NaN,4.8,13.0,WB,183875760.0,1.0,7.0
178137,Walk the Line,2005,136,Biography,7.8,225838.0,Fox,119519402.0,1.0,5.0
178283,The Box,2003,99,Crime,4.9,434.0,WB,15051977.0,1.0,1.0
178901,King Kong,2005,187,Action,7.2,379519.0,Uni.,218080025.0,3.0,4.0
178902,King Kong,2005,187,Action,7.2,379519.0,Uni.,218080025.0,1.0,2.0
179169,Inglourious Basterds,2009,153,Adventure,8.3,1201443.0,Wein.,120540719.0,1.0,8.0
179424,The Box,2009,115,Drama,5.6,87225.0,WB,15051977.0,1.0,1.0
